angle england:389
liana reynolds:388
idalia hilton:381
tamekia belcher:362
kelley felix:357
madlyn strickland:355
ninfa wong:353
michele brooks:352
kristina vaughn:351
karyn wilkinson:350
gayla summers:349
pennie hoover:345
lorene arnold:344
denisse waller:343
sixta clay:342
anne vincent:340
christy randall:334
markita alvarez:333
trula cochran:332
isidra kelly:331
huong riley:330
sheryll bird:328
qiana katz:328
augusta english:325
sara young:315
pamila neely:314
sook travis:312
lilly hudson:312
inell simon:312
ayanna bray:312
lisha melton:308
araceli coffey:307
shantae huber:306
pam kinney:306
lajuana burt:306
jami pruitt:306
herminia moss:305
jackeline bean:301
maisha mays:300
elissa barr:300
cecelia hardy:298
casey minor:296
jewell bass:295
desirae simpson:295
mellissa shepherd:294
daisey burris:292
patience church:289
claris fletcher:281
celestine koch:279
malia norris:278
emily archer:275
iris goss:274
raeann griffith:269
blanch reyes:267
kellye lancaster:263
charlette rutherford:263
helga hahn:261
chantel jones:257
trish irwin:255
margit woodruff:255
virgie sloan:254
ailene weeks:254
shavonda boggs:253
eartha shaffer:253
eun coffman:252
florrie chang:251
katelyn estes:250
annabelle vasquez:249
magen winters:246
hong banks:246
virgina kent:245
shanda randolph:244
loni hines:244
nana rush:242
lucienne shoemaker:242
princess cantrell:241
suzanna finch:240
bryanna newton:238
tatum mosley:236
merideth beach:235
kendra burgess:235
arlyne workman:235
pearlie whitney:234
arthur parks:234
nancey denton:230
jordan douglas:230
chelsie bradford:230
regina crow:228
jeffrey wright:226
helene decker:225
astrid galvan:225
renda edwards:223
timika hebert:220
verna pittman:219
therese griffin:219
antoinette bishop:219
darcey larson:216
cathey calderon:216
krissy hoskins:215
kam hickey:214
mendy dodson:213
darlene sellers:211
hilaria berg:207
kia hayden:206
beckie haines:206
bettyann crowley:205
reiko allison:204
mana palmer:204
kassie yarbrough:203
norman tucker:202
debera walden:202
gale arrington:200
blair crosby:199
treena barron:198
keturah watkins:198
ariana byrd:197
livia holloway:196
lewis freeman:195
kirby taylor:194
janine walton:194
emilia chapman:194
odilia buck:193
ardella ewing:193
marguerite weaver:191
curtis flowers:191
izetta middleton:188
iva stephenson:188
lurline peters:186
denice knight:186
alyson warner:184
reena simms:183
kathlyn polk:182
aileen hurst:182
sage perry:181
noelia knapp:181
monet garner:181
misty ayers:181
lacie rollins:181
ayesha conway:181
julianne hanson:180
darcel stuart:180
arlene solis:179
avery singleton:177
jocelyn milton:176
delta rios:176
stacee galloway:175
roselle duncan:175
jeri merrill:174
pia montes:173
myriam maddox:173
shiela foster:172
larita burch:172
ebony sharp:172
albertine jennings:172
verlie frazier:171
beaulah forrest:171
audrea higgins:170
tiffaney curtis:169
phillis brown:168
wen sherman:167
caryn schmidt:166
adina hancock:165
selma pryor:164
nickie carlson:164
felice huffman:163
teisha small:160
lin webber:160
shona crawford:158
francesca tatum:158
dimple chen:158
ayako henderson:158
anita calhoun:158
kizzy humphrey:157
hang weber:157
evangelina winter:157
soraya bland:155
phoebe burks:155
chantell fuentes:155
shameka bond:154
jeanelle clemons:154
gretta houston:153
ramona golden:152
adah brandt:152
jacquetta chaney:151
helaine roy:150
april mayer:150
zita dillon:149
louann keller:149
siobhan dennis:148
rosy nielsen:148
lakeisha rasmussen:148
kanesha forbes:148
aleta bolden:148
kerry wang:147
indira ford:147
eilene austin:147
meredith rivers:146
laila cruz:145
yee guy:144
sparkle pickett:144
lily ratliff:144
adrienne fernandez:143
greta cooper:141
malena pratt:140
samella juarez:139
delorse foley:138
marni christian:137
alyse schultz:137
suk neal:136
karlene goldstein:136
yuri meadows:135
latrisha rankin:135
azucena holder:135
hortensia norton:134
rozanne cherry:133
kecia stout:133
daniel mobley:133
stephane clayton:130
lauri samuels:127
teressa mack:126
joelle stark:126
scarlet vinson:125
rachelle porter:125
luanne stanley:125
melony carr:124
lavon hamilton:124
kerri suarez:123
tresa gibbs:122
sharee newell:121
ciera chavez:121
young phillips:120
sheree mcgrath:120
juliet yates:119
saundra gardner:116
phylicia tracy:116
ona baldwin:116
lauren collins:116
monica arias:115
kera brennan:115
linda crouch:114
roselyn cameron:113
lenore dudley:113
terry branch:111
iesha marshall:110
freeda pearson:110
estrella stevenson:109
maryalice madison:108
latoyia morrow:107
latisha mayes:107
antionette shaw:106
grace fitzgerald:104
temeka giles:103
shondra britton:103
reva holmes:103
cecily davidson:103
stepanie compton:102
nakita fitzpatrick:102
esther kerr:102
ludivina phelps:101
lanell cannon:100
lanora hooper:99
brande finley:99
joey hobbs:97
eric werner:97
arica morrison:96
aracely ellis:96
anisha anderson:96
liz hogan:95
margy leach:94
bibi grant:94
crystal mcdermott:93
lillia langley:92
deanna rowland:92
mandi lehman:91
gwenda holley:90
glendora klein:90
