ludivina phelps:101
keturah watkins:198
jalisa gill:52
lorine dotson:71
ebony sharp:172
lucienne shoemaker:242
roseanna harvey:21
sherell contreras:61
kizzy humphrey:157
christy randall:334
jewell bass:295
beverly deleon:16
nicki lindsay:31
kecia stout:133
joelle stark:126
timika hebert:220
darlene sellers:211
suzanna finch:240
desirae simpson:295
annabelle vasquez:249
gabriele henson:8
melony carr:124
judie martin:31
arlene solis:179
cherelle puckett:73
shavonda boggs:253
maryalice madison:108
treena barron:198
lin webber:160
luanne stanley:125
ninfa wong:353
hildred burton:40
tiffaney curtis:169
pamila neely:314
shiloh lam:5
colby childers:34
maxima hansen:77
darcey larson:216
luana reid:76
ona baldwin:116
thomas herman:31
latoyia morrow:107
tasia howard:10
le bacon:9
scarlet vinson:125
viva robinson:1
jordan douglas:230
lila dalton:77
nelly tanner:80
meredith rivers:146
amalia salas:21
kellye lancaster:263
april mayer:150
cristine strong:3
shona crawford:158
jessica goff:43
jennine emery:36
linda crouch:114
francesca tatum:158
roslyn wilson:76
windy sutton:9
chantell fuentes:155
liana reynolds:388
tresa gibbs:122
hertha webster:6
letitia tran:76
celestine koch:279
jen carroll:70
marni christian:137
arica morrison:96
helene decker:225
marivel patton:45
shantae huber:306
lanelle jackson:40
chelsie bradford:230
soraya bland:155
alexia mitchell:9
jacquetta chaney:151
renita best:47
huong riley:330
simona barton:10
tamara knox:75
joey hobbs:97
misty ayers:181
carmen velazquez:25
mellissa shepherd:294
young phillips:120
iris goss:274
ingeborg sykes:71
rona conley:27
ciera chavez:121
arthur parks:234
kia hayden:206
tanya steward:38
latisha mayes:107
lavette ball:44
aleta bolden:148
sharice diaz:83
ariana byrd:197
wen sherman:167
kristina vaughn:351
laronda chambers:74
eartha shaffer:253
delora shafer:35
margy leach:94
azucena holder:135
nohemi larsen:76
beaulah forrest:171
bettyann crowley:205
drusilla hutchinson:23
malia norris:278
manie hendrickson:21
shanda randolph:244
mendy dodson:213
monet garner:181
charlette rutherford:263
thora dean:16
samella juarez:139
lakeisha rasmussen:148
rozanne cherry:133
lucile sanders:38
jami pruitt:306
heather cuevas:63
sparkle pickett:144
julene law:24
sage perry:181
temeka giles:103
felice huffman:163
antoinette bishop:219
berry briggs:8
kristian butts:85
lisha melton:308
kerri suarez:123
sheree mcgrath:120
ayesha conway:181
irene bright:24
bryanna newton:238
lurline peters:186
charisse bates:16
cecily davidson:103
ula sampson:2
virgie sloan:254
raylene robertson:19
jeannetta andersen:28
renae jacobs:30
norman tucker:202
theola shields:13
janine walton:194
livia holloway:196
chantel jones:257
roseann powers:8
ashley french:15
gabriella quinn:34
krissy hoskins:215
monica arias:115
gaynell hoffman:40
maisha mays:300
debera walden:202
marci haley:37
herminia moss:305
jo faulkner:73
stefani kaufman:24
siobhan dennis:148
myriam maddox:173
nakia lyon:85
sue gallagher:30
evangelina winter:157
delorse foley:138
onita simmons:11
trish irwin:255
rachelle porter:125
isidra kelly:331
cathey calderon:216
caryn schmidt:166
nancey denton:230
wanita mills:28
alyse schultz:137
pearl wynn:2
lily ratliff:144
robbyn ingram:52
daisey burris:292
vasiliki stephens:60
leighann chamberlain:6
lean fowler:24
milissa mcginnis:43
delta rios:176
joycelyn roman:52
alia dunbar:13
helaine roy:150
stephanie walls:18
rosalia petty:74
telma massey:15
stephane clayton:130
estrella stevenson:109
troy hodges:89
kandace delaney:57
trula cochran:332
gayla summers:349
reva holmes:103
gwenda holley:90
shiela foster:172
adrienne fernandez:143
kathie conrad:62
laverna key:40
fonda perez:90
criselda hartley:48
phoebe burks:155
lacey gay:76
adah brandt:152
hallie blanchard:49
zulma robles:50
theda durham:61
kirby taylor:194
ramona golden:152
travis collier:52
deanna rowland:92
renda edwards:223
bibi grant:94
kanesha forbes:148
damaris dunlap:8
ione lynn:20
julianne hanson:180
nickie carlson:164
kandis reeves:52
lauralee salinas:29
daria thornton:47
sook travis:312
markita alvarez:333
gilda hull:68
sixta clay:342
myrle farris:37
kelley felix:357
therese griffin:219
louann keller:149
iva stephenson:188
eric werner:97
gloria goins:51
phillis brown:168
indira ford:147
magen winters:246
kerry wang:147
raguel bowman:72
helga hahn:261
katelynn tyler:49
lauren collins:116
louella hopper:24
jeri merrill:174
roselle duncan:175
faye johnston:86
anita calhoun:158
lauri samuels:127
shirlene black:59
adina hancock:165
nakita fitzpatrick:102
shameka bond:154
stephenie griggs:58
marguerite weaver:191
jolanda madden:66
kelsie nichols:53
alyson warner:184
merideth beach:235
tiffanie pagan:5
kiyoko cowan:80
reiko allison:204
dean fritz:61
sara young:315
aracely ellis:96
charline schwartz:6
claris fletcher:281
tamekia belcher:362
lina lyons:44
araceli coffey:307
yasmin bingham:58
glennie sanchez:76
izetta middleton:188
ayako henderson:158
doretta nicholson:53
pandora crum:42
kathlyn polk:182
aileen hurst:182
phylicia tracy:116
grace fitzgerald:104
teisha small:160
yuri meadows:135
lillia langley:92
grisel buckner:47
richelle blevins:14
maryrose dejesus:45
esther kerr:102
romelia wolf:79
pearlie whitney:234
celine mooney:10
golden joyner:84
ailene weeks:254
leonie norman:39
gudrun flanagan:2
lewis freeman:195
lasonya blackburn:63
qiana katz:328
voncile talley:88
daryl gibson:40
raven woods:87
iesha marshall:110
mandie chan:40
ayanna bray:312
ardath rodriguez:68
eugena farmer:52
odilia buck:193
ora mathis:67
lorene arnold:344
jolene hatfield:69
hong banks:246
florrie chang:251
taylor bell:35
shondra britton:103
glendora klein:90
albertine jennings:172
magnolia oliver:63
alejandrina holland:28
tatum mosley:236
anne vincent:340
verna pittman:219
denisse waller:343
noelia knapp:181
ricki shirley:53
laila cruz:145
jocelyn milton:176
dorcas olsen:28
cherlyn farley:12
eun coffman:252
jeneva cortez:44
tien mcallister:64
stepanie compton:102
emilia chapman:194
zita dillon:149
halley day:26
lavon hamilton:124
roselyn cameron:113
lenore dudley:113
blanch reyes:267
maybell wilkins:73
stacee galloway:175
augusta english:325
loni hines:244
savanna harris:49
marge jimenez:85
latrisha rankin:135
patience church:289
yee guy:144
teressa mack:126
brande finley:99
karyn wilkinson:350
michele brooks:352
dale garrett:38
tesha elkins:84
hortensia norton:134
kendra burgess:235
tameka gary:75
greta cooper:141
gale arrington:200
maybelle bender:12
minda glover:58
beckie haines:206
astrid galvan:225
shelba ross:48
hilaria berg:207
lashandra thompson:17
phyllis blanton:75
rosy nielsen:148
liz hogan:95
calandra todd:1
angle england:389
ethyl robbins:60
shelby gonzales:10
lajuana burt:306
dimple chen:158
janis sullivan:59
juliet yates:119
virgina kent:245
anh childs:3
kera brennan:115
sheryll bird:328
daniel mobley:133
freeda pearson:110
cecelia hardy:298
terry branch:111
karie york:39
madlyn strickland:355
larita burch:172
crystal mcdermott:93
gretta houston:153
merrilee vazquez:69
jeffrey wright:226
nana rush:242
elissa barr:300
mana palmer:204
antionette shaw:106
lanell cannon:100
hang weber:157
gertude pierson:19
avery singleton:177
verlie frazier:171
malena pratt:140
kassie yarbrough:203
lanora hooper:99
gladys murphy:14
camellia holden:23
kam hickey:214
princess cantrell:241
jackeline bean:301
